1400,Matematicas IV,4,0
1401,Física III,4,0
1402,Lengua Española,4,0
1403,Historia Universal,4,0
1404,Lógica,4,0
1405,Geografía,4,0
1406,Dibujo II,4,0
1407,Lengua Extranjera IV,4,0
1409,Estetica IV,4,0
1410,Educación Física IV,4,0
1411,Orientación Educativa IV,4,0
1412,Informática,4,0
1500,Matemáticas V,5,0
1501,Química III,5,0
1502,Biología IV,5,0
1503,Educación para la Salud,5,0
1504,Historia de México II,5,0
1505,Etimologías Grecolatinas,5,0
1506,Lengua extranjera V,5,0
1512,Ética,5,0
1513,Educación Física V,5,0
1514,Estetica V,5,0
1515,Orientación Educativa V,5,0
1516,Literatura Universal,5,0
1610,Dibujo Constructivo II,6,1
1611,Física IV,6,1
1612,Química IV,6,1
1706,Geología y Mineralogía,6,1
1709,Físico-Química,6,1
1710,Temas Selec. Matemáticas,6,1
1719,Informática Aplicada a la Ciencia y la Industria,6,1
1722,Biología V,6,1
1723,Astronomía,6,1
1712,Estadística y Prob.,6,1
1613,Biología V,6,2
1621,Física IV,6,2
1622,Química IV,6,2
1706,Geología y Mineralogía,6,2
1709,Físico-Química,6,2
1711,Temas Selec. Biología,6,2
1716,Temas Selec. de Morfología y Fisiología,6,2
1700,Higiene Mental,6,2
1614,Geografía Económica,6,3
1615,Introducc. Al Estudio de las Ciencias Sociales y Ec.,6,3
1616,Problemas Soc. Polit. y Económicos de México,6,3
1704,Contabilidad y Gestión Administrativa,6,3
1707,Geografía Política,6,3
1719,Informática Aplicada a la Ciencia y la Industria,6,3
1720,Sociología,6,3
1615,Introducc. Al Estudio de las Ciencias Sociales y Ec.,6,4
1617,Historia de la Cultura,6,4
1618,Historia de las Doctrinas Filosóficas,6,4
1703,Revolución Mexicana,6,4
1705,Pensamiento Filosófico de México,6,4
1708,Modelado II,6,4
1713,Latín,6,4
1714,Griego,6,4
1715,Comunicación Visual,6,4
1717,Estética,6,4
1718,Historia del Arte,6,4
1601,Derecho,6,0
1602,Literatura Mex. e Iberoam.,6,0
1603,Lengua extranjera VI,6,0
1600,Matemáticas VI,6,0
1609,Psicologia,6,0
